order_id,Order Date,Product Name,Category,Region,Quantity,Sales,Profit,ship_date,delivery_date,shipping_type
103003,26/01/2022,Printer,Office,East,6,2100,202.86,29/01/2022,02/02/2022,Same Day
100377,05/10/2022,Smartphone,Electronics,East,3,411,55.73,07/10/2022,09/10/2022,Economy
101389,04/04/2024,Keyboard,Accessories,East,1,607,79.78,07/04/2024,11/04/2024,Economy
101780,28/04/2023,Laptop,Electronics,,2,570,94.39,28/04/2023,28/04/2023,Economy
102735,28/03/2022,Smartwatch,Electronics,North,2,474,120.91,28/03/2022,02/04/2022,Standard
100670,24/09/2022,Smartwatch,Electronics,South,5,4935,625.39,27/09/2022,30/09/2022,Economy
100701,10/04/2023,Camera,Electronics,East,3,684,39.33,12/04/2023,18/04/2023,Same Day
101108,05/12/2024,Smartwatch,Electronics,South,1,70,10.64,08/12/2024,15/12/2024,Standard
100095,28/08/2024,Laptop,Electronics,West,1,705,165.16,29/08/2024,01/09/2024,Economy
102462,27/04/2024,Mouse,Accessories,North,5,2505,303.61,28/04/2024,04/05/2024,standard
103487,24/01/2023,Laptop,Electronics,North,5,2410,636.83,27/01/2023,01/02/2023,Standard
101772,21/01/2022,Camera,Electronics,East,9,8055,2300.17,22/01/2022,24/01/2022,Same Day
100502,11/02/2023,Keyboard,Accessories,East,6,6432,807.94,14/02/2023,15/02/2023,Same Day
101893,20/07/2023,Monitor,Accessories,West,5,5230,385.77,22/07/2023,28/07/2023,Standard
100871,26/12/2024,Monitor,Accessories,West,6,3828,1102.86,26/12/2024,28/12/2024,Standard
100474,21/07/2022,Printer,Office,South,2,2016,426.43,23/07/2022,24/07/2022,Standard
102536,23/11/2023,Keyboard,Accessories,East,1,266,22.42,24/11/2023,29/11/2023,Same Day
103369,01/10/2024,Mouse,Accessories,South,4,3264,639.8,01/10/2024,02/10/2024,Express
100420,03/12/2024,Smartwatch,Electronics,North,1,496,93.31,06/12/2024,13/12/2024,Standard
103420,17/12/2023,Keyboard,Accessories,East,1,190,27.43,19/12/2023,21/12/2023,Express
102905,01/11/2023,Camera,Electronics,East,1,113,20.07,04/11/2023,11/11/2023,Express
100194,11/01/2022,Keyboard,Accessories,West,3,2529,169.6,14/01/2022,17/01/2022,Express
100631,02/05/2024,Monitor,Accessories,South,5,3490,205.04,03/05/2024,10/05/2024,Express
101695,16/01/2023,Smartphone,Electronics,North,8,8896,1154.96,18/01/2023,21/01/2023,Economy
102485,10/05/2022,Tablet,Electronics,West,2,-1166,170.11,11/05/2022,14/05/2022,Standard
102359,19/11/2023,Smartwatch,Electronics,East,1,384,83.58,19/11/2023,24/11/2023,Standard
100898,23/05/2023,,Accessories,South,1,202,11.24,23/05/2023,24/05/2023,Standard
100603,23/04/2022,Headphones,Accessories,West,2,1098,239.92,23/04/2022,24/04/2022,Standard
102305,10/11/2023,Keyboard,Accessories,East,6,5880,454.19,10/11/2023,12/11/2023,Express
102464,29/12/2023,Printer,Office,West,2,340,59.56,30/12/2023,05/01/2024,Express
102972,20/08/2023,Camera,Electronics,South,4,3616,789.63,22/08/2023,22/08/2023,Economy
101416,15/04/2024,Smartphone,Electronics,East,5,750,207.77,17/04/2024,18/04/2024,Express
101436,04/04/2024,Monitor,Accessories,North,9,7596,1454.15,05/04/2024,12/04/2024,Standard
100181,31/05/2022,Printer,Office,,2,112,23.33,31/05/2022,01/06/2022,Standard
101302,24/05/2024,Monitor,Accessories,East,7,4648,1240.98,26/05/2024,28/05/2024,Standard
103283,30/01/2023,Smartphone,Electronics,South,6,5604,615.07,30/01/2023,04/02/2023,Standard
100514,28/06/2024,Keyboard,Accessories,West,6,6888,945.07,01/07/2024,03/07/2024,Express
102493,02/02/2024,Laptop,Electronics,North,6,2196,572.17,04/02/2024,09/02/2024,Same Day
100369,09/06/2022,Tablet,Electronics,East,2,846,145.09,12/06/2022,17/06/2022,Standard
100296,26/12/2023,Laptop,Electronics,East,8,6968,1479.09,29/12/2023,03/01/2024,Express
101244,22/06/2022,Camera,,South,3,777,71.72,25/06/2022,30/06/2022,Standard
100619,27/10/2024,Camera,Electronics,North,1,930,136.16,27/10/2024,28/10/2024,Standard
100786,13/08/2022,Smartwatch,Electronics,South,3,375,80.58,13/08/2022,18/08/2022,Same Day
101597,07/05/2023,Tablet,Electronics,North,2,1902,388.83,09/05/2023,12/05/2023,Express
100318,29/09/2023,Camera,Electronics,East,2,624,139.64,02/10/2023,07/10/2023,Express
102889,18/02/2024,Monitor,Accessories,East,4,4024,787.06,18/02/2024,23/02/2024,Standard
100539,19/07/2023,Mouse,Accessories,West,3,294,22.9,19/07/2023,22/07/2023,Same Day
103186,13/12/2024,Smartphone,Electronics,South,6,1704,193.18,16/12/2024,18/12/2024,Economy
102073,18/06/2022,Camera,Electronics,North,5,5305,1389.25,19/06/2022,24/06/2022,Same Day
101032,16/07/2022,Monitor,Accessories,South,4,1332,342.85,18/07/2022,23/07/2022,Express
100186,10/06/2023,Tablet,Electronics,North,7,1239,118.36,10/06/2023,11/06/2023,Standard
101621,20/10/2024,Smartphone,Electronics,South,6,2970,425.9,20/10/2024,25/10/2024,Standard
102433,03/12/2023,Smartphone,Electronics,,1,1039,137.24,04/12/2023,07/12/2023,Standard
101016,07/08/2023,Monitor,Accessories,North,2,1342,184.59,08/08/2023,11/08/2023,Standard
100448,22/12/2024,Headphones,Accessories,North,9,2997,163.34,24/12/2024,31/12/2024,Same Day
100845,17/01/2024,Monitor,Accessories,East,9,4302,344.64,17/01/2024,21/01/2024,Economy
102332,17/05/2024,Smartphone,Electronics,East,8,5264,1051.5,18/05/2024,24/05/2024,Standard
101657,28/07/2023,Mouse,Accessories,South,4,356,59.15,31/07/2023,01/08/2023,Express
101226,16/03/2022,Headphones,Accessories,East,5,4920,323.38,16/03/2022,17/03/2022,Same Day
102666,08/04/2022,Keyboard,Accessories,East,4,3528,411.5,08/04/2022,11/04/2022,Express
102749,16/02/2023,Tablet,Electronics,East,2,858,73.49,19/02/2023,21/02/2023,Standard
102994,01/01/2022,Headphones,Accessories,South,7,3941,628.96,04/01/2022,06/01/2022,Same Day
100087,05/12/2022,Smartphone,Electronics,West,5,390,27.77,06/12/2022,11/12/2022,Standard
100798,07/03/2024,Printer,Office,East,7,8379,2009.05,08/03/2024,09/03/2024,standard
101942,18/06/2024,Camera,Electronics,South,7,2667,363.5,21/06/2024,28/06/2024,Same Day
101242,14/04/2024,Headphones,Accessories,East,4,1716,364.96,17/04/2024,17/04/2024,Express
102896,12/10/2024,Monitor,Accessories,South,8,5456,898.06,14/10/2024,18/10/2024,Express
102834,12/08/2023,Camera,Electronics,East,3,2280,365.17,13/08/2023,14/08/2023,Express
100983,30/06/2024,Monitor,Accessories,West,7,7833,1843.94,02/07/2024,03/07/2024,Standard
101674,01/07/2023,Laptop,Electronics,East,4,3216,962.49,03/07/2023,05/07/2023,Standard
100803,20/07/2024,Keyboard,Accessories,North,6,4446,1217.86,23/07/2024,24/07/2024,Standard
101058,24/09/2023,Keyboard,Accessories,North,6,4458,1215.3,25/09/2023,01/10/2023,Standard
100416,25/07/2023,Headphones,Accessories,South,7,8113,995.03,28/07/2023,29/07/2023,Standard
101807,31/05/2022,Monitor,Accessories,East,3,2139,503.08,01/06/2022,07/06/2022,Standard
103094,20/07/2023,Mouse,Accessories,,6,3186,794.94,23/07/2023,30/07/2023,Economy
100124,19/03/2022,Tablet,Electronics,West,6,3450,705.74,22/03/2022,28/03/2022,Express
100705,18/07/2023,Smartphone,Electronics,East,6,4662,350.79,20/07/2023,26/07/2023,Express
101364,25/05/2022,Monitor,Accessories,East,4,2604,411.38,27/05/2022,03/06/2022,express
101538,21/02/2024,Laptop,Electronics,West,5,2670,155.89,23/02/2024,01/03/2024,Same Day
102478,02/01/2023,Laptop,Electronics,West,9,9315,1808.68,02/01/2023,04/01/2023,Standard
100592,16/06/2022,Printer,Office,North,6,6444,518.79,16/06/2022,19/06/2022,Same Day
102682,13/08/2023,Headphones,Accessories,East,8,8224,1679.16,14/08/2023,16/08/2023,Same Day
100565,24/01/2024,Keyboard,Accessories,South,1,1112,272.81,24/01/2024,27/01/2024,Express
103293,21/07/2024,Printer,Office,East,9,7020,623.97,22/07/2024,23/07/2024,Express
101021,31/03/2022,Mouse,Accessories,West,6,6516,842.83,31/03/2022,05/04/2022,Standard
102293,19/05/2023,Laptop,Electronics,East,2,990,76.87,21/05/2023,28/05/2023,Standard
102729,25/04/2023,Monitor,Accessories,East,4,596,105.89,26/04/2023,30/04/2023,Standard
102526,16/03/2022,Tablet,Electronics,South,3,2508,431.53,17/03/2022,21/03/2022,Standard
100546,15/09/2023,Mouse,Accessories,East,4,4088,1200.03,16/09/2023,20/09/2023,Standard
102926,07/12/2024,Smartphone,Electronics,West,8,6576,1337.38,09/12/2024,16/12/2024,Standard
101496,11/02/2024,Mouse,Accessories,East,6,4098,1174.46,13/02/2024,19/02/2024,Standard
101586,27/07/2022,Tablet,Electronics,South,6,4152,1065.46,30/07/2022,05/08/2022,Express
101841,13/07/2023,Mouse,Accessories,South,2,124,32.27,13/07/2023,18/07/2023,Standard
101429,19/11/2022,Keyboard,Accessories,East,4,1516,256.96,22/11/2022,24/11/2022,Standard
100596,03/05/2023,Keyboard,Accessories,South,2,836,47.07,05/05/2023,09/05/2023,Express
101888,13/01/2023,Mouse,Accessories,East,7,7966,955.8,13/01/2023,17/01/2023,Standard
100075,05/04/2024,Tablet,Electronics,North,2,328,39.51,06/04/2024,11/04/2024,Standard
102936,06/03/2024,Smartphone,Electronics,South,4,2648,707.32,09/03/2024,15/03/2024,Standard
103169,16/01/2022,Smartphone,Electronics,North,3,231,36.73,18/01/2022,21/01/2022,Same Day
102568,13/12/2023,Printer,Office,South,5,1415,358.39,14/12/2023,16/12/2023,Standard
102094,02/01/2023,Laptop,Electronics,West,4,3216,213.81,02/01/2023,08/01/2023,Express
102920,15/02/2023,Printer,Office,West,7,3185,765.41,16/02/2023,21/02/2023,Standard
100684,07/04/2023,Monitor,Accessories,West,5,4260,229.77,07/04/2023,07/04/2023,Same Day
101987,18/09/2023,Monitor,Accessories,East,0,5055,1200.09,18/09/2023,24/09/2023,Standard
101781,13/05/2022,,Accessories,East,7,7791,907.96,14/05/2022,20/05/2022,Standard
103481,11/12/2022,Smartphone,Electronics,South,5,950,61.9,11/12/2022,16/12/2022,Economy
101765,12/07/2023,Printer,Office,East,8,8952,1825.37,15/07/2023,22/07/2023,Standard
101067,14/01/2022,Tablet,Electronics,,9,2205,410.01,16/01/2022,21/01/2022,Standard
101554,17/06/2023,Tablet,Electronics,North,7,2457,690.55,18/06/2023,19/06/2023,Same Day
101910,29/02/2024,Smartphone,Electronics,West,6,456,69.15,29/02/2024,01/03/2024,Standard
103151,18/08/2024,Printer,Office,North,9,6183,359.54,18/08/2024,24/08/2024,Economy
102420,04/09/2024,Monitor,Accessories,South,8,1944,134.94,05/09/2024,07/09/2024,Standard
102584,09/11/2022,Printer,Office,East,6,3222,846.27,10/11/2022,15/11/2022,Standard
101121,04/06/2024,Camera,Electronics,North,9,4959,479.28,04/06/2024,11/06/2024,Economy
101675,25/07/2024,Smartwatch,Electronics,East,4,4324,833.11,28/07/2024,30/07/2024,Standard
102494,05/07/2024,Keyboard,Accessories,East,2,1696,500.56,06/07/2024,07/07/2024,Express
101514,23/07/2022,Tablet,Electronics,South,2,2392,483.39,23/07/2022,28/07/2022,Standard
103231,03/09/2022,Monitor,Accessories,East,5,3850,419.55,03/09/2022,06/09/2022,Standard
101523,06/11/2024,Smartphone,Electronics,West,2,2204,523.82,06/11/2024,09/11/2024,Express
102402,19/09/2024,Headphones,Accessories,South,3,777,147.93,21/09/2024,22/09/2024,Standard
101777,16/10/2023,Camera,Electronics,South,6,5928,1177.2,16/10/2023,22/10/2023,Express
102075,18/07/2024,Monitor,Accessories,East,9,4977,745.81,19/07/2024,23/07/2024,Standard
100427,19/11/2023,Printer,Office,East,8,5296,1234.81,22/11/2023,24/11/2023,same day
102170,09/09/2024,Headphones,Accessories,West,8,1024,1573.187095,09/09/2024,12/09/2024,Express
100445,19/08/2023,Mouse,Accessories,North,8,6008,871.76,21/08/2023,27/08/2023,Same Day
100244,28/04/2024,Smartphone,Electronics,South,4,4380,362.81,30/04/2024,02/05/2024,Standard
102319,26/11/2022,Keyboard,Accessories,East,9,1467,372.17,29/11/2022,03/12/2022,Standard
100532,17/06/2023,,Electronics,West,4,1920,549.11,17/06/2023,19/06/2023,Express
102156,03/02/2023,Smartwatch,Electronics,East,6,648,62.25,04/02/2023,10/02/2023,Same Day
101732,13/12/2023,Smartphone,Electronics,West,6,6978,2028.63,15/12/2023,18/12/2023,Standard
102063,27/09/2022,Smartphone,Electronics,East,8,9208,2595.33,29/09/2022,30/09/2022,Standard
101203,18/06/2022,Smartphone,Electronics,South,4,3520,417.26,21/06/2022,27/06/2022,Standard
100187,09/05/2023,Tablet,Electronics,West,2,572,86.16,10/05/2023,17/05/2023,Economy
101749,27/09/2022,Smartwatch,Electronics,West,5,3170,379.27,29/09/2022,03/10/2022,Same Day
102059,26/01/2024,Monitor,Accessories,North,7,2765,699.86,27/01/2024,28/01/2024,Standard
102164,17/06/2024,Laptop,Electronics,East,7,7301,2026.43,20/06/2024,24/06/2024,Standard
100340,20/06/2024,Monitor,Accessories,North,4,3792,1092.85,22/06/2024,29/06/2024,Express
103402,09/09/2022,Laptop,Electronics,East,4,1628,314.96,09/09/2022,15/09/2022,Express
100444,22/05/2022,Printer,Office,West,2,1874,271.5,24/05/2022,25/05/2022,standard
102190,02/06/2022,Smartwatch,Electronics,East,7,4396,962.61,03/06/2022,06/06/2022,Standard
101325,25/03/2022,Smartphone,Electronics,South,2,1298,204.08,25/03/2022,28/03/2022,Standard
102622,13/02/2022,Tablet,Electronics,South,6,1944,366.18,13/02/2022,19/02/2022,express
103322,14/03/2023,,Electronics,East,4,4692,409.07,17/03/2023,24/03/2023,Standard
100213,12/01/2023,Laptop,Electronics,South,5,3985,824.4,13/01/2023,15/01/2023,Express
101799,03/09/2022,Camera,Electronics,North,4,4716,1084.16,05/09/2022,11/09/2022,Standard
101075,13/02/2023,Mouse,Accessories,West,4,864,251.99,13/02/2023,19/02/2023,Standard
101793,26/08/2024,Monitor,Accessories,East,1,545,68.28,27/08/2024,02/09/2024,Express
101116,12/05/2024,Laptop,Electronics,North,5,1540,411.83,15/05/2024,18/05/2024,Expres
103412,06/01/2022,Printer,Office,North,1,232,34.26,06/01/2022,09/01/2022,Express
101490,12/08/2023,Smartwatch,Electronics,East,8,984,183.07,13/08/2023,18/08/2023,Standard
102076,09/02/2022,Smartphone,Electronics,East,7,4529,273.97,10/02/2022,15/02/2022,Economy
101902,19/04/2023,Printer,Office,South,7,1659,127.48,21/04/2023,26/04/2023,Standard
100884,27/07/2024,Monitor,Accessories,East,8,2256,468.52,30/07/2024,02/08/2024,Same Day
103181,27/06/2023,Headphones,Accessories,South,4,1488,74.52,27/06/2023,30/06/2023,Same Day
102300,15/04/2022,Keyboard,Accessories,East,8,3208,840.97,16/04/2022,17/04/2022,Standard
101040,17/11/2024,Keyboard,Accessories,South,9,4302,475.96,19/11/2024,24/11/2024,Standard
100440,02/10/2023,Keyboard,Accessories,East,1,1017,69.33,05/10/2023,09/10/2023,Standard
100637,15/07/2022,,Accessories,West,4,3408,856.98,16/07/2022,18/07/2022,Same Day
100984,09/04/2023,Monitor,Accessories,West,1,610,33.55,11/04/2023,15/04/2023,Same Day
102688,08/04/2022,Monitor,Accessories,West,2,170,48.69,10/04/2022,11/04/2022,Express
102099,19/11/2024,Smartphone,Electronics,North,3,183,41.82,19/11/2024,25/11/2024,Standard
102043,04/06/2022,Keyboard,Accessories,North,3,942,84.8,06/06/2022,12/06/2022,Express
100448,22/12/2024,Headphones,Accessories,North,9,2997,163.34,24/12/2024,31/12/2024,Same Day
103272,03/02/2023,Camera,Electronics,West,5,845,69.35,05/02/2023,12/02/2023,Standard
100868,25/04/2023,Mouse,Accessories,East,7,1722,414.87,26/04/2023,03/05/2023,Standard
100121,04/03/2024,Smartwatch,Electronics,North,2,2302,305.07,06/03/2024,08/03/2024,Standard
101559,23/07/2024,Tablet,Electronics,North,5,5660,641.69,26/07/2024,31/07/2024,Standard
100511,21/05/2022,Camera,Electronics,West,5,250,16.81,23/05/2022,30/05/2022,Standard
103255,08/06/2023,Monitor,Accessories,North,7,3451,397.29,08/06/2023,15/06/2023,Standard
100774,05/04/2024,Printer,Office,West,2,2276,366.5,08/04/2024,09/04/2024,Standard
101170,08/06/2023,Headphones,Accessories,West,5,2080,614.77,10/06/2023,11/06/2023,Standard
100734,31/08/2024,Headphones,Accessories,North,2,378,87.37,31/08/2024,02/09/2024,Standard
103210,23/03/2022,Camera,Electronics,West,2,1416,136.75,26/03/2022,03-29-2022,Standard
102053,08/08/2022,Headphones,Accessories,South,7,7763,1444.27,11/08/2022,16/08/2022,Standard
102955,24/02/2022,Smartphone,Electronics,West,1,632,81.54,27/02/2022,01/03/2022,Express
100582,01/12/2023,Mouse,Accessories,South,9,7866,1554.38,01/12/2023,07/12/2023,Express
100920,06/04/2024,Monitor,Accessories,West,3,2211,292.31,09/04/2024,15/04/2024,Standard
102284,10/08/2022,Tablet,Electronics,North,4,1428,160.54,12/08/2022,16/08/2022,Standard
103226,04/01/2022,Headphones,Accessories,North,2,2150,625.93,06/01/2022,13/01/2022,Standard
101531,01/10/2024,Smartwatch,Electronics,East,5,1910,463.07,01/10/2024,07/10/2024,Same Day
102805,15/09/2022,Headphones,Accessories,West,8,7576,1703.42,18/09/2022,21/09/2022,Standard
103127,13/02/2023,Smartwatch,Electronics,East,2,2334,158.07,16/02/2023,21/02/2023,Express
100034,04/05/2023,Headphones,Accessories,North,3,2739,202.81,07/05/2023,08/05/2023,Express
100852,17/05/2023,Mouse,Accessories,South,2,1924,394.4,20/05/2023,24/05/2023,Express
101903,20/04/2023,Tablet,Electronics,South,3,3360,759.31,20/04/2023,24/04/2023,Standard
101626,23/02/2024,Headphones,Accessories,East,2,1262,190.02,25/02/2024,27/02/2024,Standard
103407,18/10/2024,Mouse,Accessories,South,3,2214,127.34,20/10/2024,21/10/2024,Same Day
100206,17/08/2023,Tablet,Electronics,East,2,1752,501.19,20/08/2023,22/08/2023,Standard
102534,26/10/2024,Tablet,Electronics,South,5,4900,347.25,29/10/2024,31/10/2024,Economy
103323,30/06/2024,Laptop,Electronics,West,6,6234,1829.07,02/07/2024,03/07/2024,Standard
100400,30/09/2023,Smartwatch,Electronics,East,5,2025,168.82,03/10/2023,10/07/2023,Standard
101803,19/05/2024,Monitor,Accessories,East,8,5632,1620.04,20/05/2024,23/05/2024,Standard
102460,04/11/2024,Camera,Electronics,South,4,2228,293.25,05/11/2024,07/11/2024,Standard
100524,29/04/2024,Keyboard,Accessories,West,0,5775,680.6,30/04/2024,04/05/2024,Express
100430,04/09/2022,Smartphone,Electronics,West,4,3892,1052.72,04/09/2022,09/09/2022,Standard
102200,14/12/2022,Tablet,Electronics,South,1,400,45.16,15/12/2022,20/12/2022,same day
102255,18/01/2022,Keyboard,Accessories,East,1,717,137.27,20/01/2022,23/01/2022,Express
102211,29/05/2022,Tablet,Electronics,East,9,-4041,963.58,01/06/2022,08/06/2022,Express
101327,16/04/2023,Tablet,Electronics,North,1,516,70.53,16/04/2023,20/04/2023,Standard
102662,19/03/2023,Smartphone,Electronics,North,6,4872,786.79,19/03/2023,21/03/2023,Standard
103122,01/06/2024,Monitor,Accessories,South,7,6559,1141.32,02/06/2024,08/06/2024,Standard
102837,12/12/2023,Smartwatch,Electronics,West,2,850,59.92,15/12/2023,16/12/2023,Standard
100590,17/07/2023,Camera,Electronics,West,5,4590,347.14,20/07/2023,26/07/2023,standard
100125,07/07/2024,Smartphone,Electronics,South,8,7456,1702.48,09/07/2024,15/07/2024,Express
101271,09/04/2022,Mouse,Accessories,East,6,4302,957.38,09/04/2022,15/04/2022,Standard
102825,05/10/2022,Laptop,Electronics,East,8,4624,893.74,08/10/2022,09/10/2022,Standard
103244,23/07/2023,Smartwatch,Electronics,East,7,5432,870.08,25/07/2023,01/08/2023,Standard
102638,03/11/2022,Keyboard,Accessories,West,9,2817,432.67,03/11/2022,04/11/2022,Standard
103023,07/10/2024,Keyboard,Accessories,East,9,5706,1704.8,07/10/2024,12/10/2024,Standard
103152,14/10/2022,Smartwatch,Electronics,West,1,243,21.75,14/10/2022,21/10/2022,Express
101235,10/07/2023,Monitor,Accessories,West,6,6582,729.68,11/07/2023,14/07/2023,Express
100768,06/11/2023,Monitor,Accessories,West,1,464,58.38,06/11/2023,07/11/2023,Express
100795,29/07/2023,Tablet,Electronics,West,7,5264,756.33,30/07/2023,06/08/2023,Standard
102931,08/01/2023,Camera,Electronics,South,5,905,70.91,10/01/2023,16/01/2023,Standard
102103,20/04/2023,Printer,Office,East,4,3856,747.79,20/04/2023,24/04/2023,Same Day
101696,21/11/2022,Mouse,Accessories,North,2,2344,385.19,22/11/2022,29/11/2022,Standard
101428,13/07/2024,Tablet,Electronics,North,8,1048,107.56,14/07/2024,16/07/2024,Express
102698,07/04/2023,Headphones,Accessories,South,8,4136,810.82,07/04/2023,09/04/2023,Standard
102188,03/10/2024,Camera,Electronics,East,4,3296,460.98,04/10/2024,10/10/2024,Express
102761,22/04/2022,Printer,Office,West,8,432,98.44,23/04/2022,26/04/2022,Standard
102333,18/12/2023,Laptop,Electronics,North,2,1346,196.5,21/12/2023,21/12/2023,Express
101391,06/11/2022,Keyboard,Accessories,South,1,711,158.89,08/11/2022,13/11/2022,Standard
103497,12/04/2022,Laptop,Electronics,South,4,260,66.02,13/04/2022,16/04/2022,Standard
102024,28/01/2022,Mouse,Accessories,North,6,606,104.52,28/01/2022,02/02/2022,standard
103377,31/01/2022,Smartphone,Electronics,South,6,3366,460.75,02/02/2022,03/02/2022,Standard
101615,13/04/2024,Printer,Office,South,3,1086,188.65,13/04/2024,15/04/2024,Economy
102451,23/03/2022,Mouse,Accessories,North,3,369,19.22,26/03/2022,01/04/2022,Standard
102270,05/02/2023,Smartwatch,Electronics,North,4,508,37.94,06/02/2023,09/02/2023,same day
100638,21/02/2022,Tablet,Electronics,WEST,7,2282,537.71,24/02/2022,03/03/2022,Express
103387,30/01/2022,Camera,Electronics,South,8,5352,1133.57,01/02/2022,04/02/2022,Standard
102872,20/02/2024,Smartphone,Electronics,West,9,6813,890.05,23/02/2024,01/03/2024,Economy
102861,26/02/2024,Keyboard,Accessories,East,5,1250,120.74,29/02/2024,07/03/2024,Express
101937,13/01/2023,Smartwatch,Electronics,West,2,1644,189.32,15/01/2023,16/01/2023,Standard
100531,17/07/2024,Smartwatch,Electronics,West,7,1988,430.59,17/07/2024,21/07/2024,Standard
101365,28/10/2023,Headphones,Accessories,West,1,526,108.88,28/10/2023,02/11/2023,Standard
100855,13/07/2023,Camera,Electronics,East,2,1114,300.44,16/07/2023,22/07/2023,Express
103289,03/09/2022,Keyboard,Accessories,South,5,1090,140.7,03/09/2022,09/09/2022,Same Day
103022,07/03/2024,Monitor,Accessories,East,4,1632,247.88,08/03/2024,10/03/2024,Standard
103059,02/02/2022,Monitor,Accessories,North,0,1800,494.02,03/02/2022,04/02/2022,Standard
102986,25/03/2023,Laptop,Electronics,South,9,5553,1432.76,27/03/2023,02/04/2023,Standard
103014,12/12/2024,Headphones,Accessories,South,9,8514,1291.97,13/12/2024,19/12/2024,Standard
102185,11/04/2024,Smartwatch,Electronics,West,4,4284,848.44,12/04/2024,16/04/2024,Standard
103161,04/03/2024,Tablet,Electronics,South,9,9324,1223.9,07/03/2024,14/03/2024,Same Day
101600,11/04/2023,Tablet,Electronics,East,7,6209,402.78,12/04/2023,16/04/2023,Express
103087,16/02/2023,Smartphone,Electronics,South,3,582,48.08,16/02/2023,20/02/2023,Economy
101959,02/12/2022,Laptop,Electronics,East,7,945,75.21,02/12/2022,09/12/2022,Standard
100479,14/03/2022,Smartphone,Electronics,North,4,2640,183.23,14/03/2022,16/03/2022,Express
102699,22/10/2023,Mouse,Accessories,South,7,3605,387.82,22/10/2023,24/10/2023,Economy
102592,13/10/2023,Smartphone,Electronics,South,7,4697,976.26,15/10/2023,17/10/2023,Express
100361,28/03/2022,Printer,Office,East,5,5405,326.56,31/03/2022,05/04/2022,Standard
102714,24/05/2024,Tablet,Electronics,South,4,2232,531.12,26/05/2024,31/05/2024,Standard
100662,19/11/2022,Monitor,Accessories,East,4,1080,204.95,19/11/2022,23/11/2022,Same Day
103447,15/03/2024,Camera,Electronics,West,3,177,43.41,17/03/2024,20/03/2024,Express
100485,16/04/2024,Keyboard,Accessories,South,8,7056,538.48,16/04/2024,19/04/2024,Standard
103305,13/01/2023,Tablet,Electronics,West,1,853,97.5,14/01/2023,18/01/2023,Express
101693,13/07/2024,Smartwatch,Electronics,North,6,4692,1044.97,14/07/2024,15/07/2024,Express
101537,26/04/2023,Camera,Electronics,West,3,417,114.42,26/04/2023,30/04/2023,Standard
101114,02/10/2024,Monitor,Accessories,SOUTH,1,436,73.89,02/10/2024,06/10/2024,Standard
101166,10/06/2024,Keyboard,Accessories,South,6,3240,758.19,10/06/2024,13/06/2024,Same Day
101305,11/12/2024,Laptop,Electronics,East,1,918,180.31,13/12/2024,19/12/2024,Express
102960,18/12/2022,Camera,Electronics,East,8,7528,7934.091243,21/12/2022,23/12/2022,Standard
103270,06/02/2024,Smartwatch,Electronics,East,6,912,256.58,06/02/2024,10/02/2024,Standard
101188,14/01/2023,Mouse,Accessories,South,9,7938,1191.41,16/01/2023,17/01/2023,Same Day
